duration,sample_rate,predictions,gt,predictions_clean,gt_clean
7.839,16000,"Εάν δεν μπορούμε να προβάλλουμε τα δημιουργία και τα πραγματικά μας, μπορούμε να βρίσκουμε πριν σε όλα αυτά τα δημιουργία.",WHILE WE CANNOT COMPROMISE ON OUR VALUES AND OUR POSITIONS WE CAN STILL WORK TOGETHER ON MANY ISSUES,εαν δεν μπορουμε να προβαλλουμε τα δημιουργια και τα πραγματικα μας μπορουμε να βρισκουμε πριν σε ολα αυτα τα δημιουργια,while we cannot compromise on our values and our positions we can still work together on many issues
20.5964375,16000,"And I would add a further question to this. As you are perfectly aware that the significant number of autochthonous national minorities and the language minorities live in the EU, 15 million people, 10% of the population, do you intend to incorporate the issue of this communities, this national and language minorities,",I WOULD ADD A FURTHER QUESTION TO THIS AS YOU ARE PERFECTLY AWARE THAT A SIGNIFICANT NUMBER OF AUTOCHTHONOUS NATIONAL MINORITIES AND LANGUAGE MINORITIES LIVE IN THE EU FIFTEEN MILLION PEOPLE TEN OF THE POPULATION DO YOU INTEND TO INCORPORATE THE ISSUE OF THESE COMMUNITIES THESE NATIONAL AND LANGUAGE MINORITIES,and i would add a further question to this as you are perfectly aware that the significant number of autochthonous national minorities and the language minorities live in the eu 15000000 people 10% of the population do you intend to incorporate the issue of this communities this national and language minorities,i would add a further question to this as you are perfectly aware that a significant number of autochthonous national minorities and language minorities live in the eu 15000000 people 10 of the population do you intend to incorporate the issue of these communities these national and language minorities
1.2798125,16000,is pretty straightforward.,THIS IS PRETTY STRAIGHTFORWARD,is pretty straightforward,this is pretty straightforward
2.9196875,16000,And based regulation is a crucial part of that.,THIS REGULATION IS A CRUCIAL PART OF THAT,and based regulation is a crucial part of that,this regulation is a crucial part of that
11.3763125,16000,And could you please also tell me what in London you are supporting as measures in the city against the international money laundry systems?,AND COULD YOU PLEASE ALSO TELL ME WHAT IN LONDON YOU ARE SUPPORTING AS MEASURES IN THE CITY AGAINST THE INTERNATIONAL MONEYLAUNDERING SYSTEMS,and could you please also tell me what in london you are supporting as measures in the city against the international money laundry systems,and could you please also tell me what in london you are supporting as measures in the city against the international moneylaundering systems
9.3789375,16000,I'm convinced that it will make the rest of the world more united and determined to work towards the full implementation of the Paris Agreement.,I AM CONVINCED THAT IT WILL MAKE THE REST OF THE WORLD MORE UNITED AND DETERMINED TO WORK TOWARDS THE FULL IMPLEMENTATION OF THE PARIS AGREEMENT,i am convinced that it will make the rest of the world more united and determined to work towards the full implementation of the paris agreement,i am convinced that it will make the rest of the world more united and determined to work towards the full implementation of the paris agreement
9.2795,16000,"Second, the court has been adamant on highlighting the importance of full commitment of member states in ensuring better rules and better spending.",SECONDLY THE COURT HAS BEEN ADAMANT ABOUT HIGHLIGHTING THE IMPORTANCE OF THE FULL COMMITMENT OF MEMBER STATES IN ENSURING BETTER RULES AND BETTER SPENDING,2nd the court has been adamant on highlighting the importance of full commitment of member states in ensuring better rules and better spending,secondly the court has been adamant about highlighting the importance of the full commitment of member states in ensuring better rules and better spending
8.76,16000,I'm just back from the film festivals in Europe and we have to support our European films not to leave it to Hollywood and Bollywood.,I'M JUST BACK FROM THE FILM FESTIVALS IN EUROPE AND WE HAVE TO SUPPORT OUR EUROPEAN FILMS NOT TO LEAVE IT TO HOLLYWOOD AND BOLLYWOOD,i am just back from the film festivals in europe and we have to support our european films not to leave it to hollywood and bollywood,i am just back from the film festivals in europe and we have to support our european films not to leave it to hollywood and bollywood
21.8999375,16000,"In the US, it was a decision taken only by one person, the former president of the United States, against the articulated democratic majority of the US Congress by all of its Republicans and some of its Democratic members. It was an agreement without any binding obligations as the leaders of Iran very openly and precisely on the very day their so-called deal was published.",IN THE US IT WAS A DECISION TAKEN ONLY BY ONE PERSON THE FORMER PRESIDENT OF THE UNITED STATES AGAINST THE ARTICULATED DEMOCRATIC MAJORITY OF THE US CONGRESS BY ALL OF ITS REPUBLICAN AND SOME OF ITS DEMOCRAT MEMBERS IT WAS AN AGREEMENT WITHOUT ANY BINDING OBLIGATIONS AS THE LEADERS OF IRAN VERY OPENLY AND PRECISELY MADE CLEAR ON THE VERY DAY THIS SO CALLED DEAL WAS PUBLISHED,in the us it was a decision taken only by one person the former president of the united states against the articulated democratic majority of the us congress by all of its republicans and some of its democratic members it was an agreement without any binding obligations as the leaders of iran very openly and precisely on the very day their so called deal was published,in the us it was a decision taken only by one person the former president of the united states against the articulated democratic majority of the us congress by all of its republican and some of its democrat members it was an agreement without any binding obligations as the leaders of iran very openly and precisely made clear on the very day this so called deal was published
20.0799375,16000,"and national competition authorities. But also the report says very clearly that this independence is strongly linked to the availability of human and financial resources. However,",AND NATIONAL COMPETITION AUTHORITIES BUT THE REPORT ALSO SAYS VERY CLEARLY THAT THIS INDEPENDENCE IS STRONGLY LINKED TO THE AVAILABILITY OF HUMAN AND FINANCIAL RESOURCES HOWEVER,and national competition authorities but also the report says very clearly that this independence is strongly linked to the availability of human and financial resources however,and national competition authorities but the report also says very clearly that this independence is strongly linked to the availability of human and financial resources however
