duration,predictions,gt,predictions_clean,gt_clean
2.040125,but as you know it was a possible...,"Um, but as you know, that was impossible.",but as you know it was a possible .,but as you know that was impossible
4.56,"I'm not going to go through that, but you have a lot of information which you typically provide.","I'm not gonna go through that but you have a lot of information we typically provide, um, in other presentations, um, we can refer to that in the Q and A if necessary.",i am not going to go through that but you have a lot of information which you typically provide,i am not going to go through that but you have a lot of information we typically provide in other presentations we can refer to that in the q and a if necessary
7.2999375,. Talk about some things that I know also interests many of you which is the beer and energy markets.,"Talk a little bit about some things I know will also interest many of you, which is the beer and energy markets.",talk about some things that i know also interests many of you which is the beer and energy markets,talk a little bit about some things i know will also interest many of you which is the beer and energy markets
8.5399375,The capital language was obviously necessary because of the mere recommendation.,"The capital increase was obviously just necessary because of the, the <inaudible> requisition.",the capital language was obviously necessary because of the mere recommendation,the capital increase was obviously just necessary because of the the requisition
4.9,"and again, we are trying to preview your CMV in the future.","And again, not trying to view your, uh, your CMV, uh, in the future.",and again we are trying to preview your cmv in the future,and again not trying to view your your cmv in the future
5.660125,and so choose how we have been active in reshaping our idea of a portfolio.,"Um, so it shows how we've been active in reshaping our idea and portfolio.",and so choose how we have been active in reshaping our idea of a portfolio,so it shows how we have been active in reshaping our idea and portfolio
8.6399375,"But I think we've seen important developments and public support for the green technologies in general, and obviously for other in particular.","I think we've seen important developments and public support for the green technologies in general and obviously, for, for Britain, in particular.",but i think we have seen important developments and public support for the green technologies in general and obviously for other in particular,i think we have seen important developments and public support for the green technologies in general and obviously for for britain in particular
2.660125,Thank you so much for taking my questions.,Thank you so much for taking my questions.,thank you so much for taking my questions,thank you so much for taking my questions
8.9200625,and to maintain the financial guidance that we shared with you just a month ago in the V.S. Recursion and in the Writzyshue presentation.,"Um, so we maintain the financial guidance that we shared with you just a month ago, the <inaudible> acquisition and the rights issue presentation.",and to maintain the financial guidance that we shared with you just a month ago in the v s recursion and in the writzyshue presentation,so we maintain the financial guidance that we shared with you just a month ago the acquisition and the rights issue presentation
1.5200625,when making an audio recording.,"Uh, can you elaborate on that?",when making an audio recording,can you elaborate on that
10.120125,"We have some storage projects under analysis for so to speak, and we also have some renewable projects that we are intent on developing for those coalescence, which are being determined in the south.","We have some storage projects under analysis for <inaudible> and we also have some renewable projects that we're intensively developing via those coal sites, which have been decommissioned in the south of Spain.",we have some storage projects under analysis for so to speak and we also have some renewable projects that we are intent on developing for those coalescence which are being determined in the south,we have some storage projects under analysis for and we also have some renewable projects that we are intensively developing via those coal sites which have been decommissioned in the south of spain
2.2400625,and I think you are far out of about the year-a-dollar.,And I think you also asked about the euro dollar.,and i think you are far out of about the year a dollar,and i think you also asked about the euro dollar
8.660125,"Many, many, gentlemen, thank you for studying at and welcome to ADP's First Task to Common, Twenty Result Presentation.","Ladies and gentlemen, thank you for standing by, and welcome to EDP's first half 2020 result presentation.",many many gentlemen thank you for studying at and welcome to adp is 1st task to common 20 result presentation,ladies and gentlemen thank you for standing by and welcome to edp is 1st half 2020 result presentation
7.640125,Just quickly recapping what was done since we announced our strategic update back in march nineteen.,"Just quickly recapping what, what we've done, um, since we announced our strategic update back in March ' 19.",just quickly recapping what was done since we announced our strategic update back in march 19,just quickly recapping what what we have done since we announced our strategic update back in march 19
7.7799375,"in relation to our project, the Windslide Atlantic Business Commission in the summer.","Um, in addition to our project, the wind float Atlantic this was commissioned in, in the summer.",in relation to our project the windslide atlantic business commission in the summer,in addition to our project the wind float atlantic this was commissioned in in the summer
7.3600625,or move to the Cuneo session in which we will be taking your questions both by phone and via our web page.,"We'll then move to the Q and A session in which we'll be taking your questions, both by phone and via our webpage, www.edp.com.",or move to the cuneo session in which we will be taking your questions both by phone and via our web page,we will then move to the q and a session in which we will be taking your questions both by phone and via our webpage www edp com
0.3399375,Thank you,Thank you.,thank you,thank you
4.8600625,"Of course, it's access to also the adaption capacity of the company, but also our people.","Of course, this has to do also with, um, adaption capacity of the company, but also our people.",of course it is access to also the adaption capacity of the company but also our people,of course this has to do also with adaption capacity of the company but also our people
9.739875,"So be great to really get to a clean, clean, clean, eager here to understand your underlying, underlying airing power, which you believe is the key base today.","So it'd be great to really get to a clean, clean, clean figure here to understand your underlying, underlying earnings power, which I believe is, is the key base today.",so be great to really get to a clean clean clean eager here to understand your underlying underlying airing power which you believe is the key base today,so it would be great to really get to a clean clean clean figure here to understand your underlying underlying earnings power which i believe is is the key base today
7.2600625,"So here the negative effects, in fact, on the people's eyes, are obviously more diluted at the end level, and even more the net profit.","Um, so here the, the negative effects in fact, the EBITDA is obviously more diluted at the base level, and even more at the, the net profit level.",so here the negative effects in fact on the people is eyes are obviously more diluted at the end level and even more the net profit,so here the the negative effects in fact the ebitda is obviously more diluted at the base level and even more at the the net profit level
10.08,"Regarding offshore winds, J. V. has done so, established ocean winds, you know, brings positive impact because of the assets which are transferred.","Regarding offshore wind <inaudible> done so, um, established Ocean Winds, uh, you know, brings, uh, positive impact because of the assets that were transferred.",regarding offshore winds j v has done so established ocean winds you know brings positive impact because of the assets which are transferred,regarding offshore wind done so established ocean winds you know brings positive impact because of the assets that were transferred
8.3600625,"Also, in relation to twenty one, and also something like to highlight and to be doing that over the last couple of months, we are reducing our merchant exposure.","Also in relation to 21, and not something I'd like to highlight as we've been doing that over the last couple of months, is we are reducing our massive exposure.",also in relation to 21 and also something like to highlight and to be doing that over the last couple of months we are reducing our merchant exposure,also in relation to 21 and not something i would like to highlight as we have been doing that over the last couple of months is we are reducing our massive exposure
3.2400625,At this time all participants are in a listening mode.,"At this time, all participants are in a listen-only mode.",at this time all participants are in a listening mode,at this time all participants are in a listen only mode
11.2800625,"On efficiency, fully on track to meet targets in our strategic plan, Puppex is decreasing three per cent of our year in the first half of twenty twenty, obviously part of that to do with the COVID pandemic.","When efficiency fully on track meets targets in our strategic plan <inaudible> decreasing 3% year on year in the first half of 2020, obviously part of that to do with, um, COVID.",on efficiency fully on track to meet targets in our strategic plan puppex is decreasing 3% of our year in the 1st half of 2020 obviously part of that to do with the covid pandemic,when efficiency fully on track meets targets in our strategic plan decreasing 3% year on year in the 1st half of 2020 obviously part of that to do with covid
6.08025,and from the model you can assume that those options will be well in capital gain associated with that.,"I think, you know, from the multiples you can assume the, that those obviously are going to be relevant capital gains associated with that.",and from the model you can assume that those options will be well in capital gain associated with that,i think you know from the multiples you can assume the that those obviously are going to be relevant capital gains associated with that
5.0801875,and I think this is revealed in the presentation...of...,"Um, I think this is detailed in the presentation.",and i think this is revealed in the presentation of .,i think this is detailed in the presentation
2.2000625,so as to increase the liquidity for the company.,So this increases liquidity for the company.,so as to increase the liquidity for the company,so this increases liquidity for the company
