duration,predictions,gt,predictions_clean,gt_clean
2.040125,"But as you know, it wasn't possible.","Um, but as you know, that was impossible.",but as you know it was not possible,but as you know that was impossible
4.56,"I'm not going to go through that, but you have a lot of information we typically provide.","I'm not gonna go through that but you have a lot of information we typically provide, um, in other presentations, um, we can refer to that in the Q and A if necessary.",i am not going to go through that but you have a lot of information we typically provide,i am not going to go through that but you have a lot of information we typically provide in other presentations we can refer to that in the q and a if necessary
7.2999375,"Talk a little bit about something that I know also interests many of you, which is the beer and energy markets.","Talk a little bit about some things I know will also interest many of you, which is the beer and energy markets.",talk a little bit about something that i know also interests many of you which is the beer and energy markets,talk a little bit about some things i know will also interest many of you which is the beer and energy markets
8.5399375,The capital increase was almost just necessary because of the the virtual acquisition.,"The capital increase was obviously just necessary because of the, the <inaudible> requisition.",the capital increase was almost just necessary because of the the virtual acquisition,the capital increase was obviously just necessary because of the the requisition
4.9,"And again, trying to preview your CMB in the future.","And again, not trying to view your, uh, your CMV, uh, in the future.",and again trying to preview your cmb in the future,and again not trying to view your your cmv in the future
5.660125,So it shows how we've been active in reshaping our ideal portfolio.,"Um, so it shows how we've been active in reshaping our idea and portfolio.",so it shows how we have been active in reshaping our ideal portfolio,so it shows how we have been active in reshaping our idea and portfolio
8.6399375,"I think we've seen important developments and public support for the re-technologies in general, and obviously for the beauty in particular.","I think we've seen important developments and public support for the green technologies in general and obviously, for, for Britain, in particular.",i think we have seen important developments and public support for the re technologies in general and obviously for the beauty in particular,i think we have seen important developments and public support for the green technologies in general and obviously for for britain in particular
2.660125,Thank you so much for sticking. My question is...,Thank you so much for taking my questions.,thank you so much for sticking my question is .,thank you so much for taking my questions
8.9200625,So we're maintaining the financial guidance that we shared with you just a month ago in the DPS requisition and the right issue presentation.,"Um, so we maintain the financial guidance that we shared with you just a month ago, the <inaudible> acquisition and the rights issue presentation.",so we are maintaining the financial guidance that we shared with you just a month ago in the dps requisition and the right issue presentation,so we maintain the financial guidance that we shared with you just a month ago the acquisition and the rights issue presentation
1.5200625,que yo elaboré en ver.,"Uh, can you elaborate on that?",que yo elabore en ver,can you elaborate on that
10.120125,"We have some storage projects under analysis for SotusPrig. And we also have some renewable projects that we intend to develop in B.S. Go's code sites, which are being decommissioned in the south of the country.","We have some storage projects under analysis for <inaudible> and we also have some renewable projects that we're intensively developing via those coal sites, which have been decommissioned in the south of Spain.",we have some storage projects under analysis for sotusprig and we also have some renewable projects that we intend to develop in b s go is code sites which are being decommissioned in the south of the country,we have some storage projects under analysis for and we also have some renewable projects that we are intensively developing via those coal sites which have been decommissioned in the south of spain
2.2400625,And I think you also have about the euro dollar.,And I think you also asked about the euro dollar.,and i think you also have about the euro dollar,and i think you also asked about the euro dollar
8.660125,Thank you for sending us and welcome to ADB's first time to 2020 Resale presentation.,"Ladies and gentlemen, thank you for standing by, and welcome to EDP's first half 2020 result presentation.",thank you for sending us and welcome to adb is 1st time to 2020 resale presentation,ladies and gentlemen thank you for standing by and welcome to edp is 1st half 2020 result presentation
7.640125,Just quickly recapping what we've done since we now saw strategic update back in 2019.,"Just quickly recapping what, what we've done, um, since we announced our strategic update back in March ' 19.",just quickly recapping what we have done since we now saw strategic update back in 2019,just quickly recapping what what we have done since we announced our strategic update back in march 19
7.7799375,"here. In relation to our project, the WinFloat Atlantic Business Commission in the summer,","Um, in addition to our project, the wind float Atlantic this was commissioned in, in the summer.",here in relation to our project the winfloat atlantic business commission in the summer,in addition to our project the wind float atlantic this was commissioned in in the summer
7.3600625,to then move to the Q&A session in which we will be taking your questions both by phone and via our webpage www.qa.gov.,"We'll then move to the Q and A session in which we'll be taking your questions, both by phone and via our webpage, www.edp.com.",to then move to the q a session in which we will be taking your questions both by phone and via our webpage www qa governor,we will then move to the q and a session in which we will be taking your questions both by phone and via our webpage www edp com
0.3399375,Hey.,Thank you.,hey,thank you
4.8600625,"Of course, it's up to do also with the adaption capacity of the company, but also our people.","Of course, this has to do also with, um, adaption capacity of the company, but also our people.",of course it is up to do also with the adaption capacity of the company but also our people,of course this has to do also with adaption capacity of the company but also our people
9.739875,"So it would be great to really get to a clean, clean, clean, eager here to understand your underlying, underlying earnings power, which it believes in the key debates today.","So it'd be great to really get to a clean, clean, clean figure here to understand your underlying, underlying earnings power, which I believe is, is the key base today.",so it would be great to really get to a clean clean clean eager here to understand your underlying underlying earnings power which it believes in the key debates today,so it would be great to really get to a clean clean clean figure here to understand your underlying underlying earnings power which i believe is is the key base today
7.2600625,"So here the negative effects, in fact, that you would die is obviously more diluted at the ebit level and even more than the net profit.","Um, so here the, the negative effects in fact, the EBITDA is obviously more diluted at the base level, and even more at the, the net profit level.",so here the negative effects in fact that you would die is obviously more diluted at the ebit level and even more than the net profit,so here the the negative effects in fact the ebitda is obviously more diluted at the base level and even more at the the net profit level
10.08,"Regarding offshore wind, JV is done. So established ocean winds brings positive impact because of the efforts we've transferred.","Regarding offshore wind <inaudible> done so, um, established Ocean Winds, uh, you know, brings, uh, positive impact because of the assets that were transferred.",regarding offshore wind jv is done so established ocean winds brings positive impact because of the efforts we have transferred,regarding offshore wind done so established ocean winds you know brings positive impact because of the assets that were transferred
8.3600625,"Also, in relation to 2021 and also something like to highlight, and we've been doing that over the last couple of months, we are reducing our margin of exposure.","Also in relation to 21, and not something I'd like to highlight as we've been doing that over the last couple of months, is we are reducing our massive exposure.",also in relation to 2021 and also something like to highlight and we have been doing that over the last couple of months we are reducing our margin of exposure,also in relation to 21 and not something i would like to highlight as we have been doing that over the last couple of months is we are reducing our massive exposure
3.2400625,"At this time, all participants are in a listen-only mode.","At this time, all participants are in a listen-only mode.",at this time all participants are in a listen only mode,at this time all participants are in a listen only mode
11.2800625,and efficiency fully untracked to meet targets in a strategic plan. POPX is decreasing three percent a year in the first half of 2020. Obviously part of that to do with the COVID.,"When efficiency fully on track meets targets in our strategic plan <inaudible> decreasing 3% year on year in the first half of 2020, obviously part of that to do with, um, COVID.",and efficiency fully untracked to meet targets in a strategic plan popx is decreasing 3% a year in the 1st half of 2020 obviously part of that to do with the covid,when efficiency fully on track meets targets in our strategic plan decreasing 3% year on year in the 1st half of 2020 obviously part of that to do with covid
